date,open,high,previsao
1578988800000,8110.34,8315,1
1578992400000,8270.01,8488.11,1
1578996000000,8431.83,8434.33,0
1578999600000,8431.17,8473.18,0
1579003200000,8461.83,8573,0
1579006800000,8523.92,8543.29,0
1579010400000,8477.48,8513.32,0
1579014000000,8509.53,8542.43,0
1579017600000,8509.85,8535.91,0
1579021200000,8511.87,8561,0
1579024800000,8504.73,8530,0
1579028400000,8518.13,8530,0
1579032000000,8526.87,8625.37,0
1579035600000,8498.81,8588.88,0
1579039200000,8588.86,8740,1
1579042800000,8689.99,8760,0
1579046400000,8673.18,8696.17,0
1579050000000,8677.22,8811.82,1
1579053600000,8771.1,8850,0
1579057200000,8769.07,8772.8,0
1579060800000,8765.51,8766.93,0
1579064400000,8688.18,8761.49,0
1579068000000,8735.92,8789.79,0
1579071600000,8736,8880,1
1579075200000,8814.64,8900,0
1579078800000,8774.15,8803.81,0
1579082400000,8778,8835,0
1579086000000,8813.99,8817.98,0
1579089600000,8727,8741.75,0
1579093200000,8597.41,8666.91,0
1579096800000,8612.01,8693.72,0
1579100400000,8680.82,8687.96,0
1579104000000,8626.8,8675.11,0
1579107600000,8638.6,8782.6,1
1579111200000,8756.06,8808.55,0
1579114800000,8799.81,8810,0
1579118400000,8730,8796,0
1579122000000,8765.2,8916.48,1
1579125600000,8889.97,8903.02,0
1579129200000,8855.69,8865.76,0
1579132800000,8762.73,8820,0
1579136400000,8779.43,8804.89,0
1579140000000,8797,8798.19,0
1579143600000,8746.85,8785,0
1579147200000,8761.57,8842.1,0
1579150800000,8815.21,8860,0
1579154400000,8830.61,8869.32,0
1579158000000,8861.91,8876.4,0
1579161600000,8820.01,8859.81,0
1579165200000,8760.67,8771.95,0
1579168800000,8663.63,8697.79,0
1579172400000,8650,8659,0
1579176000000,8640.01,8730,0
1579179600000,8651.55,8727.85,0
1579183200000,8700.66,8727.24,0
1579186800000,8721.37,8723.27,0
1579190400000,8679.99,8715,0
1579194000000,8675.99,8685.87,0
1579197600000,8645.71,8662.76,0
1579201200000,8658.32,8725,0
1579204800000,8724.82,8789,0
1579208400000,8720,8727,0
1579212000000,8695.27,8702.52,0
1579215600000,8686.57,8725,0
1579219200000,8710.01,8720.82,0
1579222800000,8660.19,8719.11,0
1579226400000,8678.13,8704,0
1579230000000,8684,8718,0
1579233600000,8705.01,8750,0
1579237200000,8742.94,8757,0
1579240800000,8691.17,8743.21,0
1579244400000,8720.34,8748,0
1579248000000,8720.15,8743.99,0
1579251600000,8690.25,8738.8,0
1579255200000,8738.8,8780,0
1579258800000,8757.29,8840.4,0
1579262400000,8786.43,8815.86,0
1579266000000,8815.27,8896.89,0
1579269600000,8891.25,8997,0
1579273200000,8862.7,8950.36,0
1579276800000,8935.54,8999,0
1579280400000,8927.71,8986.27,0
1579284000000,8969.36,9041.65,0
1579287600000,8937,8962.28,0
1579291200000,8903.53,8919.41,0
1579294800000,8808.17,8865.07,0
1579298400000,8851,8852.92,0
1579302000000,8778.69,8867.29,0
1579305600000,8851.39,8923.88,0
1579309200000,8875.96,8919.42,0
1579312800000,8890.04,8954.49,0
1579316400000,8920.5,8955.55,0
1579320000000,8879.63,8934.77,0
1579323600000,8879.74,8934.89,0
1579327200000,8922.43,8959,0
1579330800000,8938.99,8961.6,0
1579334400000,8913.27,8987.9,0
1579338000000,8979.23,8988.88,0
1579341600000,8941.47,8947.63,0
1579345200000,8921.17,8948.57,0
1579348800000,8926.07,8926.95,0
1579352400000,8842.79,8872.3,0
1579356000000,8845.53,8876.48,0
1579359600000,8863.7,8879.97,0
1579363200000,8843.63,8870,0
1579366800000,8856.43,8900.91,0
1579370400000,8876.43,8919,0
1579374000000,8887.18,8890,0
1579377600000,8879.29,8922.27,0
1579381200000,8910,8949,0
1579384800000,8919.94,8964,0
1579388400000,8922.61,8950,0
1579392000000,8903.27,8935.17,0
1579395600000,8882.74,8914.44,0
1579399200000,8904.92,8909.96,0
1579402800000,8886.79,8916.98,0
1579406400000,8907.79,8920,0
1579410000000,8907.58,8929.31,0
1579413600000,8920.29,8955,0
1579417200000,8954.25,8960,0
1579420800000,8915.09,8979.59,0
1579424400000,8974.49,9174.78,1
1579428000000,9146.91,9180.22,0
1579431600000,9156.61,9198.98,0
1579435200000,9157.74,9165,0
1579438800000,9148.99,9156.79,0
1579442400000,9129.98,9147.56,0
1579446000000,9074.72,9091.59,0
1579449600000,9083.8,9115.24,0
1579453200000,9103.16,9127.36,0
1579456800000,9060.02,9079.44,0
1579460400000,9038.69,9038.91,0
1579464000000,8681.16,8684.76,0
1579467600000,8628,8642,0
1579471200000,8630,8657.61,0
1579474800000,8617.1,8648,0
1579478400000,8630.98,8676.05,0
1579482000000,8644.91,8666.6,0
1579485600000,8658.62,8661.68,0
1579489200000,8650.78,8656.03,0
1579492800000,8646.67,8657.96,0
1579496400000,8646.67,8758.84,0
1579500000000,8722.15,8752,0
1579503600000,8643.44,8723.45,0
1579507200000,8701.72,8735.84,0
1579510800000,8664.66,8696.19,0
1579514400000,8650.79,8674.81,0
1579518000000,8658.82,8670,0
1579521600000,8667.64,8689.93,0
1579525200000,8641.28,8685,0
1579528800000,8675.2,8686,0
1579532400000,8682.21,8694,0
1579536000000,8665.24,8682.92,0
1579539600000,8642.04,8673,0
1579543200000,8660.9,8670.79,0
1579546800000,8651.73,8663.17,0
1579550400000,8615.71,8640,0
1579554000000,8583.24,8643.98,0
1579557600000,8606.61,8670,0
1579561200000,8661.16,8678.55,0
1579564800000,8675.45,8709.31,0
1579568400000,8668.3,8677.93,0
1579572000000,8641.79,8686.04,0
1579575600000,8664.86,8682.15,0
1579579200000,8673.51,8678.6,0
1579582800000,8676.08,8694,0
1579586400000,8692.44,8746.99,0
1579590000000,8654.83,8683.24,0
1579593600000,8642.35,8664.86,0
1579597200000,8644.53,8666.3,0
1579600800000,8656.31,8678,0
1579604400000,8665.75,8683,0
1579608000000,8674.09,8699.84,0
1579611600000,8671.02,8680.56,0
1579615200000,8660.37,8669.48,0
1579618800000,8649.97,8657.51,0
1579622400000,8634.16,8670,0
1579626000000,8658.59,8666.78,0
1579629600000,8630.08,8670,0
1579633200000,8659.38,8677.12,0
1579636800000,8656.76,8666.66,0
1579640400000,8661.39,8668.01,0
1579644000000,8662.35,8663.42,0
1579647600000,8653.27,8676.95,0
1579651200000,8645.1,8663.47,0
1579654800000,8644.1,8653.5,0
1579658400000,8648.82,8650,0
1579662000000,8634.05,8644.02,0
1579665600000,8530.75,8720,1
1579669200000,8719.98,8789,0
1579672800000,8731.89,8743.16,0
1579676400000,8728.8,8764.98,0
1579680000000,8736.04,8758.08,0
1579683600000,8739.03,8743.53,0
1579687200000,8728.77,8743.57,0
1579690800000,8719.52,8726.58,0
1579694400000,8715,8743.57,0
1579698000000,8740,8741.57,0
1579701600000,8720.23,8762.61,0
1579705200000,8753.66,8818,0
1579708800000,8740.49,8746.34,0
1579712400000,8678.67,8688.99,0
1579716000000,8684.56,8686.68,0
1579719600000,8662.9,8670.49,0
1579723200000,8659,8681.08,0
1579726800000,8664.5,8669.7,0
1579730400000,8645.01,8675,0
1579734000000,8654.24,8669.42,0
1579737600000,8655.32,8710.45,0
1579741200000,8689.62,8701.07,0
1579744800000,8692.7,8694.25,0
1579748400000,8669.19,8674.38,0
1579752000000,8670,8674.26,0
1579755600000,8666.3,8673.63,0
1579759200000,8660.99,8676.34,0
1579762800000,8657.12,8686.22,0
1579766400000,8682.77,8691.81,0
1579770000000,8662.58,8666.47,0
1579773600000,8599.26,8620,0
1579777200000,8610.45,8615.77,0
1579780800000,8598,8613.38,0
1579784400000,8590.4,8591.41,0
1579788000000,8562.88,8573.18,0
1579791600000,8535.03,8604.78,0
1579795200000,8581.71,8624.51,0
1579798800000,8511,8518.17,0
1579802400000,8440.84,8459.45,0
1579806000000,8445,8475,0
1579809600000,8422.98,8488,0
1579813200000,8421.51,8421.52,0
1579816800000,8350,8388,0
1579820400000,8363,8400,0
1579824000000,8357.81,8371,0
1579827600000,8354.85,8380,0
1579831200000,8325.28,8358.49,0
1579834800000,8340.87,8380,0
1579838400000,8369.9,8379.78,0
1579842000000,8372.49,8432.79,0
